Month,Staff Count,Volunteers,Field Visits,Community Meetings,Donor Reports Submitted,Avg Case Response Time Days,Data Quality Score %,Monitoring Visits Completed,Operational Risk Level,Quarter
Jan,24,38,18,9,3,5.4,86,12,Medium,Q1
Feb,25,40,20,10,3,5.1,87,13,Medium,Q1
Mar,26,42,23,11,4,4.9,88,14,Medium,Q1
Apr,27,45,25,12,4,4.6,89,16,Low,Q2
May,28,47,27,13,4,4.4,90,17,Low,Q2
Jun,29,50,30,14,5,4.2,91,18,Low,Q2
Jul,30,53,32,15,5,4.5,89,19,Medium,Q3
Aug,31,55,34,16,5,4.1,91,21,Low,Q3
Sep,32,58,37,17,6,3.9,92,22,Low,Q3
Oct,33,61,39,18,6,3.7,93,24,Low,Q4
Nov,34,63,41,19,6,3.8,92,25,Low,Q4
Dec,35,66,44,20,7,3.5,94,27,Low,Q4
